"PartID","ZMID","Diam_LL","Diam_UL","Min_Under","Max_Over"
9614,39,15.05,15.45,0.003,0.003
1333,39,15.5,16.0,0.003,0.003
6935,112,15.25,15.65,0.003,0.003
6984,39,15.29,15.7,0.003,0.003
9219,39,14.7,15.1,0.003,0.003
7093,9,9.35,9.45,0.003,0.003
1333,386,8.4,8.56,0.003,0.003
7225,39,14.35,14.75,0.003,0.003
7375,39,15.4,15.8,0.003,0.003
7052,122,14.22,14.6,0.003,0.003
7720,39,14.8,15.1,0.003,0.003
9090,64,14.9,15.1,0.003,0.003
9090,233,9.42,9.62,0.003,0.003
9090,21,9.42,9.62,0.003,0.003
9090,68,9.42,9.62,0.003,0.003
7720,308,14.0,14.95,0.003,0.003
7720,307,9.01,9.11,0.003,0.003
7720,41,9.22,9.32,0.003,0.003
7644,39,14.95,15.25,0.003,0.003
7644,308,14.0,15.15,0.003,0.003
7644,307,9.01,9.11,0.003,0.003
7644,41,9.22,9.32,0.003,0.003
7395,39,15.62,16.13,0.003,0.025
7395,18,9.3,9.45,0.003,0.025
7395,54,9.3,9.45,0.003,0.025
7396,21,9.3,9.45,0.003,0.025
7396,112,15.62,16.13,0.003,0.025
7396,113,9.3,9.45,0.003,0.025
8283,112,14.73,15.09,0.003,0.003
8283,126,14.68,15.04,0.003,0.003
8283,121,14.68,15.04,0.003,0.003
7398,112,15.14,15.55,0.003,0.003
7398,233,8.51,8.71,0.003,0.003
7398,92,8.51,8.71,0.003,0.003
7324,39,15.14,15.55,0.003,0.003
7324,232,8.46,8.56,0.003,0.003
7324,43,8.46,8.56,0.003,0.003
1333,54,8.4,8.56,0.003,0.003
1331,39,15.5,16.0,0.003,0.003
9614,232,8.45,8.51,0.003,0.003
9614,75,8.45,8.51,0.003,0.003
9614,43,8.45,8.51,0.003,0.003
9615,39,15.15,15.55,0.003,0.003
9615,232,8.45,8.51,0.003,0.003
9615,75,8.45,8.51,0.003,0.003
9615,43,8.45,8.51,0.003,0.003
1331,386,8.4,8.56,0.003,0.003
1706,112,15.75,16.25,0.003,0.003
1706,69,8.96,9.12,0.003,0.003
1706,41,9.14,9.3,0.003,0.003
7517,232,8.46,8.56,0.003,0.003
7517,43,8.46,8.56,0.003,0.003
7518,39,16.64,17.04,0.254,0.254
7518,232,8.46,8.56,0.003,0.003
7518,43,8.46,8.56,0.003,0.003
7519,232,8.46,8.56,0.003,0.003
7519,9,8.46,8.56,0.003,0.003
7519,43,8.46,8.56,0.003,0.003
7520,8,8.46,8.56,0.003,0.003
7520,232,8.46,8.56,0.003,0.003
7520,9,8.46,8.56,0.003,0.003
7215,39,15.2,15.6,0.003,0.003
7215,232,9.35,9.45,0.003,0.003
7215,276,9.35,9.45,0.003,0.003
7216,39,15.3,15.7,0.003,0.003
7216,232,9.35,9.45,0.003,0.003
7216,276,9.35,9.45,0.003,0.003
7218,39,15.4,15.8,0.003,0.003
7218,232,9.35,9.45,0.003,0.003
7218,276,9.35,9.45,0.003,0.003
8283,233,9.41,9.59,0.003,0.003
8283,102,9.41,9.59,0.003,0.003
7225,232,9.35,9.45,0.003,0.003
7225,18,9.35,9.45,0.003,0.003
7051,60,14.22,14.6,0.003,0.003
7051,126,14.4,14.66,0.003,0.003
7051,121,14.4,14.66,0.003,0.003
7051,233,9.4,9.6,0.003,0.003
7051,102,9.4,9.6,0.003,0.003
7052,40,14.65,14.91,0.003,0.003
7052,46,14.53,14.79,0.003,0.003
7052,232,9.35,9.45,0.003,0.003
7052,88,9.35,9.45,0.003,0.003
7051,304,9.4,9.6,0.003,0.003
7052,297,9.35,9.45,0.003,0.003
6680,39,14.97,15.23,0.003,0.003
7524,95,15.05,15.45,0.003,0.003
7524,232,9.3,9.4,0.003,0.003
7524,284,9.3,9.4,0.003,0.003
