"ID","Number","Flex_LL","Flex_UL","SW_LL","SW_UL","SW_Wt_LL","SW_Wt_UL","SW_Meas_Type","Freq_LL","Freq_UL","Freq_Std","Freq_BSL","Freq_Wt"
766,KMPWIL10AAKA,,,20.75,21.45,71.0,77.0,Center of Gravity,,,80,,
767,PWIL10A,,,0.0,0.001,68.0,74.0,Inch Grams,,,80,,
768,KMPWIR10ANUA,,,20.15,20.85,74.0,80.0,Center of Gravity,,,80,,
769,PWIR10A,,,0.0,0.001,71.0,77.0,Inch Grams,,,80,,
770,KMPWIS10ANUA,,,20.05,20.75,75.5,81.5,Center of Gravity,,,80,,
771,PWIS10A,,,0.0,0.001,72.5,78.5,Inch Grams,,,80,,
772,KMPWIA10ANUA,50.0,68.0,20.275,21.025,71.7,77.7,Center of Gravity,253.0,263.0,80,158.75,235
773,PWIA10A,50.0,68.0,20.275,21.025,68.7,74.7,Center of Gravity,253.0,263.0,80,158.75,235
774,KMPXWX60ANUA,60.325,76.835,21.625,22.375,67.0,73.0,Center of Gravity,,,80,,
775,PXWX60A,60.325,76.835,21.625,22.375,64.0,70.0,Center of Gravity,,,80,,
776,KMPXWR60ANUA,98.425,114.94,22.025,22.775,61.0,67.0,Center of Gravity,,,80,,
777,PXWR60A,98.425,114.94,22.025,22.775,58.0,64.0,Center of Gravity,,,80,,
778,KMPXWA60AXWA,114.0,130.0,21.725,22.475,58.0,64.0,Center of Gravity,,,80,,
779,PXWA60A,113.67,130.18,21.725,22.475,55.0,61.0,Center of Gravity,,,80,,
780,KMF3WS45AXRA,,,20.15,20.85,77.7,83.7,Center of Gravity,,,80,,
781,F3WS45A,,,0.0,0.001,75.7,81.7,Inch Grams,,,80,,
782,KMF3WR45AXRA,,,20.05,20.75,85.2,91.2,Center of Gravity,,,80,,
783,F3WR45A,,,0.0,0.001,82.2,88.2,Inch Grams,,,80,,
784,KMF3WA45BAKA,,,20.85,21.55,57.5,63.5,Center of Gravity,,,80,,
785,F3WA45B,,,0.0,0.001,55.5,61.5,Inch Grams,,,80,,
786,KMF3WL45AXWA,,,22.15,22.85,47.8,53.8,Center of Gravity,,,80,,
787,F3WL45A,,,0.0,0.001,45.8,51.8,Inch Grams,,,80,,
788,KMPYWX45ANUA,101.0,119.0,21.725,22.475,72.5,78.5,Center of Gravity,,,80,,
789,PYWX45A,,,0.0,0.001,71.0,77.0,Inch Grams,,,80,,
790,KMPYWS45ANUA,101.0,119.0,21.825,22.575,70.0,76.0,Center of Gravity,260.0,270.0,80,158.75,201
791,PYWS45A,101.0,119.0,21.825,22.575,68.5,74.5,Center of Gravity,260.0,270.0,80,158.75,201
792,KMPYWR45ANUA,116.0,134.0,21.925,22.675,68.0,74.0,Center of Gravity,245.0,255.0,80,158.75,201
793,PYWR45A,116.0,134.0,21.925,22.675,66.5,72.5,Center of Gravity,245.0,255.0,80,158.75,201
794,KMPYWA45ANUA,128.0,146.0,22.125,22.875,66.0,72.0,Center of Gravity,230.0,240.0,80,158.75,201
795,PYWA45A,128.0,146.0,22.125,22.875,64.5,70.5,Center of Gravity,230.0,240.0,80,158.75,201
798,KMF3IA00AXRA,94.0,104.0,19.555,20.305,74.0,80.0,Center of Gravity,,,80,,
799,F3IA00A,94.0,104.0,19.555,20.305,72.0,78.0,Inch Grams,,,80,,
800,KM3PIR00AXRA,,,19.4,20.1,77.0,83.0,Center of Gravity,,,80,,
801,"3PIR00A",1.0,2.0,0.0,0.001,75.0,81.0,Inch Grams,,,80,,
802,KM3PIR95AXRA,,,19.15,19.85,75.9,81.9,Center of Gravity,,,80,,
803,"3PIR95A",,,0.0,0.001,73.9,79.9,Inch Grams,,,80,,
804,KM3PIR90AXRA,,,18.9,19.6,74.8,80.8,Center of Gravity,,,80,,
805,"3PIR90A",,,0.0,0.001,72.8,78.8,Inch Grams,,,80,,
806,KMPWIX10ANUA,,,20.05,20.75,73.0,83.0,Center of Gravity,,,80,,
807,PWIX10A,,,0.0,0.001,74.0,80.0,Inch Grams,,,80,,
808,KM3PIR85AXRA,,,18.65,19.35,73.7,79.7,Center of Gravity,,,80,,
809,"3PIR85A",,,0.0,0.001,71.7,77.7,Inch Grams,,,80,,
810,KM3PIR80AXRA,,,18.4,19.1,72.6,78.6,Center of Gravity,,,80,,
811,"3PIR80A",,,0.0,0.001,70.6,76.6,Inch Grams,,,80,,
812,KM3PIR75AXRA,,,18.15,18.85,71.4,77.4,Center of Gravity,,,80,,
813,"3PIR75A",,,0.0,0.001,69.4,75.4,Inch Grams,,,80,,
814,KM3PIR70AXRA,,,17.9,18.6,70.3,76.3,Center of Gravity,,,80,,
815,"3PIR70A",,,0.0,0.001,68.3,74.3,Inch Grams,,,80,,
816,KM3PIR65AXRA,,,17.65,18.35,69.2,75.2,Center of Gravity,,,80,,
817,"3PIR65A",,,0.0,0.001,67.2,73.2,Inch Grams,,,80,,
818,KM3PIR60AXRA,,,17.4,18.1,68.1,74.1,Center of Gravity,,,80,,
819,"3PIR60A",,,0.0,0.001,66.1,72.1,Inch Grams,100.0,100.1,80,158.75,201
820,KM3PIR55AXRA,,,17.15,17.85,67.0,73.0,Center of Gravity,,,80,,
821,"3PIR55A",,,0.0,0.001,65.0,71.0,Inch Grams,,,80,,
822,KMPZWL60AAKA,,,22.575,23.325,55.0,61.0,Center of Gravity,200.0,210.0,80,158.75,201
823,PZWL60A,,,22.575,23.325,52.5,58.5,Center of Gravity,200.0,210.0,80,158.75,201
824,KMPZIA00AAKA,,,21.025,21.775,58.5,64.5,Center of Gravity,235.0,245.0,80,158.75,235
825,PZIA00A,,,21.025,21.775,56.5,62.5,Center of Gravity,235.0,245.0,80,158.75,235
826,KMPXWL60AXWA,131.0,148.0,23.525,24.275,58.0,64.0,Center of Gravity,,,80,,
827,PXWL60A,131.0,148.0,23.525,24.275,55.0,61.0,Center of Gravity,,,80,,
828,KMK3WR60ACZD,,,21.65,22.35,58.2,64.2,Center of Gravity,,,80,,
829,K3WR60A,,,0.0,0.001,56.2,62.2,Inch Grams,,,80,,
830,KMK3WS60ACZD,,,21.55,22.25,58.7,64.7,Center of Gravity,,,80,,
831,K3WS60A,,,0.0,0.001,56.7,62.7,Inch Grams,,,80,,
832,CWVFWF60AXAA,,,10.0,12.0,60.5,66.5,Swing Weight Points,,,80,,
833,VFWF60A,,,0.0,0.001,58.5,64.5,Inch Grams,,,80,,
834,CWVFWR60AP4A,,,10.0,12.0,59.0,65.0,Swing Weight Points,,,80,,
835,VFWR60A,,,0.0,0.001,58.0,63.0,Inch Grams,,,80,,
836,ASJ6WS60AZLA,95.0,105.0,0.0,0.001,64.0,72.0,Inch Grams,,,80,,
837,J6WS60A,95.0,105.0,10.0,10.001,62.0,68.0,Center of Gravity,257.0,263.0,80,158.75,201
838,ASP6WS60APVA,,,0.0,0.001,65.0,73.0,Inch Grams,,,80,,
839,P6WS60A,112.0,124.0,0.0,0.001,63.0,69.0,Inch Grams,252.0,258.0,80,158.75,201
840,ASP6WX60APVA,,,0.0,0.001,65.0,73.0,Inch Grams,,,80,,
841,P6WX60A,101.0,113.0,0.0,0.001,63.0,69.0,Inch Grams,267.0,273.0,80,158.75,201
842,ASJ8WS60AZLA,99.0,109.0,0.0,0.001,85.0,93.0,Inch Grams,,,80,,
843,J8WS60A,99.0,109.0,0.0,0.001,83.0,89.0,Inch Grams,257.0,263.0,80,158.75,201
844,ASJ6WR60AZLA,104.0,116.0,0.0,0.001,64.0,72.0,Inch Grams,242.0,248.0,80,158.75,201
845,J6WR60A,104.0,116.0,0.0,0.001,62.0,68.0,Inch Grams,242.0,248.0,80,158.75,201
848,ASG5WR60AZLA,114.0,126.0,0.0,0.001,53.0,61.0,Inch Grams,242.0,248.0,80,158.75,201
849,G5WR60A,114.0,126.0,0.0,0.001,51.0,57.0,Inch Grams,242.0,248.0,80,158.75,201
850,ASG5WL60APVA,139.0,151.0,0.0,0.001,51.0,60.0,Inch Grams,217.0,223.0,80,158.75,201
851,G5WL60A,139.0,151.0,0.0,0.001,49.0,55.0,Inch Grams,217.0,223.0,80,158.75,201
852,ASG6WR60APVA,108.0,120.0,0.0,0.001,64.0,73.0,Inch Grams,242.0,248.0,80,158.75,201
853,G6WR60A,108.0,120.0,0.0,0.001,62.0,68.0,Inch Grams,242.0,248.0,80,158.75,201
854,ASG6WS60APVA,100.0,110.0,0.0,0.001,64.0,73.0,Inch Grams,257.0,263.0,80,158.75,201
856,ASG7WR60AZLA,109.0,121.0,0.0,0.001,74.0,82.0,Inch Grams,242.0,248.0,80,158.75,201
857,G7WR60A,109.0,121.0,0.0,0.001,72.0,78.0,Inch Grams,242.0,248.0,80,158.75,201
858,ASG7WS60AZLA,99.0,109.0,0.0,0.001,74.0,82.0,Inch Grams,257.0,263.0,80,158.75,201
859,G7WS60A,99.0,109.0,0.0,0.001,72.0,78.0,Inch Grams,257.0,263.0,80,158.75,201
860,ASG8IR20AZLA,45.0,51.0,0.0,0.001,78.0,86.0,Inch Grams,262.0,268.0,80,158.75,235
861,G8IR20A,45.0,51.0,0.0,0.001,76.0,82.0,Inch Grams,262.0,268.0,80,158.75,235
862,ASG8IS20AZLA,42.0,48.0,0.0,0.001,78.0,86.0,Inch Grams,277.0,283.0,80,158.75,235
863,G8IS20A,42.0,48.0,0.0,0.001,76.0,82.0,Inch Grams,277.0,283.0,80,158.75,235
866,ASG8IS20BZLA,42.0,48.0,0.0,0.001,78.0,86.0,Inch Grams,277.0,283.0,80,158.75,235
867,G8IS20B,42.0,48.0,0.0,0.001,76.0,82.0,Inch Grams,277.0,283.0,80,158.75,235
868,ASG8IX20AZLA,39.0,45.0,0.0,0.001,79.0,87.0,Inch Grams,292.0,298.0,80,158.75,235
869,G8IX20A,39.0,45.0,0.0,0.001,77.0,83.0,Inch Grams,292.0,298.0,80,158.75,235
870,ASG8IX20BZLA,39.0,45.0,0.0,0.001,79.0,87.0,Inch Grams,292.0,298.0,80,158.75,235
871,G8IX20B,39.0,45.0,0.0,0.001,77.0,83.0,Inch Grams,292.0,298.0,80,158.75,235
872,CWVFWL60AP4A,,,9.5,11.5,57.0,63.0,Swing Weight Points,,,80,,
873,VFWL60A,,,0.0,0.001,55.0,61.0,Inch Grams,,,80,,
874,CWVFWS60AP4A,,,11.8,13.8,68.0,74.0,Swing Weight Points,,,80,,
875,VFWS60A,,,0.0,0.001,66.0,72.0,Inch Grams,,,80,,
876,CWVFWUL50AP4A,,,8.3,10.3,47.0,53.0,Swing Weight Points,,,80,,
877,VFWUL50A,,,0.0,0.001,45.0,51.0,Inch Grams,,,80,,
878,ASJ5WR60APVA,108.0,120.0,0.0,0.001,54.0,63.0,Inch Grams,242.0,248.0,80,158.75,201
879,J5WR60A,108.0,120.0,0.0,0.001,52.0,58.0,Inch Grams,242.0,248.0,80,158.75,201
880,CWX4IF90AQTA,40.0,54.0,7.4,9.4,73.0,79.0,Swing Weight Points,,,80,,
881,X4IF90A,40.0,54.0,7.4,9.4,71.0,77.0,Swing Weight Points,,,80,,
882,CWX4IF80AQTA,38.0,52.0,6.5,8.5,71.0,77.0,Swing Weight Points,,,80,,
883,X4IF80A,38.0,52.0,6.5,8.5,69.0,75.0,Swing Weight Points,,,80,,
884,CWX4IF75AQTA,38.0,52.0,6.0,8.0,70.0,76.0,Swing Weight Points,,,80,,
885,X4IF75A,38.0,52.0,6.0,8.0,68.0,74.0,Swing Weight Points,,,80,,
886,CWX4IF70AQTA,36.0,50.0,5.6,7.6,69.0,75.0,Swing Weight Points,,,80,,
887,X4IF70A,36.0,50.0,5.6,7.6,67.0,73.0,Swing Weight Points,321.0,331.0,80,186.69,297
888,CWX4IF15AXLA,42.0,56.0,10.0,12.0,78.0,84.0,Swing Weight Points,,,80,,
889,X4IF15A,42.0,56.0,10.0,12.0,76.0,82.0,Swing Weight Points,,,80,,
890,CWX4IF10AXLA,41.0,55.0,9.5,11.5,77.0,83.0,Swing Weight Points,,,80,,
891,X4IF10A,41.0,55.0,9.5,11.5,75.0,81.0,Swing Weight Points,290.0,300.0,80,186.69,240
892,CWX4IF05AXLA,41.0,55.0,9.0,11.0,76.0,82.0,Swing Weight Points,,,80,,
893,X4IF05A,41.0,55.0,9.1,11.1,74.0,80.0,Swing Weight Points,294.0,304.0,80,186.69,246
894,CWX4IF00AXLA,41.0,55.0,8.5,10.5,75.0,81.0,Swing Weight Points,,,80,,
895,X4IF00A,41.0,55.0,8.5,10.5,73.0,79.0,Swing Weight Points,,,80,,
896,CWX4IF95AXLA,40.0,50.0,7.9,9.9,74.0,80.0,Swing Weight Points,,,80,,
897,X4IF95A,40.0,54.0,7.9,9.9,72.0,78.0,Swing Weight Points,,,80,,
898,CWX4IF85AXLA,39.0,53.0,6.9,8.9,72.0,78.0,Swing Weight Points,,,80,,
899,X4IF85A,39.0,53.0,6.9,8.9,70.0,76.0,Swing Weight Points,,,80,,
900,CWX4IF72AXLA,36.0,50.0,5.8,7.8,69.5,75.5,Swing Weight Points,,,80,,
901,X4IF72A,,,5.8,7.8,69.5,75.5,Swing Weight Points,,,80,,
902,CWX4IL00AF5A,42.0,56.0,9.1,10.1,73.0,79.0,Swing Weight Points,,,80,,
903,X4IL00A,,,0.0,0.001,71.0,77.0,Inch Grams,,,80,,
904,CWX4IL95AF5A,42.0,56.0,8.5,9.5,72.0,78.0,Swing Weight Points,,,80,,
905,X4IL95A,,,0.0,0.001,70.0,76.0,Inch Grams,,,80,,
906,CWX4IL90AF5A,42.0,56.0,8.0,9.0,71.0,77.0,Swing Weight Points,,,80,,
907,X4IL90A,,,0.0,0.001,69.0,75.0,Inch Grams,,,80,,
908,CWX4IL85AF5A,42.0,56.0,7.5,8.5,70.0,76.0,Swing Weight Points,,,80,,
909,X4IL85A,,,0.0,0.001,68.0,74.0,Inch Grams,,,80,,
910,CWX4IL80AF5A,41.0,55.0,7.1,8.1,69.0,75.0,Swing Weight Points,,,80,,
911,X4IL80A,,,0.0,0.001,67.0,73.0,Inch Grams,,,80,,
912,CWX4IL75AF5A,40.0,54.0,6.7,7.7,68.0,74.0,Swing Weight Points,,,80,,
913,X4IL75A,,,0.0,0.001,66.0,72.0,Inch Grams,,,80,,
914,CWX4IL70AF5A,39.0,53.0,6.2,7.2,67.0,73.0,Swing Weight Points,,,80,,
915,X4IL70A,,,0.0,0.001,65.0,71.0,Inch Grams,,,80,,
916,CWHDWL60AT6A,118.0,128.0,10.3,12.3,60.0,66.0,Swing Weight Points,,,80,,
917,HDWL60A,,,0.0,0.001,58.0,64.0,Inch Grams,,,80,,
918,CWHDWR60AT6A,113.0,123.0,10.5,12.5,61.0,67.0,Swing Weight Points,,,80,,
919,HDWR60A,,,0.0,0.001,59.0,65.0,Inch Grams,,,80,,
920,CWHDWF60AXLA,108.0,118.0,10.3,12.3,62.0,68.0,Swing Weight Points,,,80,,
921,HDWF60A,,,0.0,0.001,60.0,66.0,Inch Grams,,,80,,
922,CWC9IUL05AWXA,,,5.2,7.2,44.5,50.5,Swing Weight Points,,,80,,
923,C9IUL05A,,,5.2,7.2,44.5,50.5,Swing Weight Points,,,80,,
