"ID","Name"
204,PT BOD @ 0.1
197,PT BOD @ 0.125
215,PT BOD @ 0.25
289,PT BOD @10MM
183,PT BOD @13MM
200,PT BOD @ 0.75
331,PT BOD @30MM
239,PT BOD @250MM
210,PT BOD @ 10.5
295,PT BOD @270MM
303,PT BOD @ 10.65
181,PT BOD @ 10.8
60,PT BOD @279MM
44,PT BOD @ 11.25
62,PT BOD @ 11.5
212,PT BOD @300MM
219,PT BOD @ 12.0
192,PT BOD @ 12.4
58,PT BOD @318MM
59,PT BOD @330MM
311,PT BOD @350MM
64,PT BOD @355MM
194,PT BOD @ 14.4
231,PT BOD @ 14.5
56,PT BOD @ 15.0
229,PT BOD @ 15.5
266,PT BOD @432MM
163,PT BOD @50MM
220,PT BOD @508MM
369,PT BOD @ 25MM
126,PT BOD @76MM
227,PT BOD @ 3.75
205,PT BOD @ 3.9
272,PT BOD @ 3.94
225,PT BOD @161MM
190,PT BOD @ 5.3
182,PT BOD @ 5.4
327,PT BOD @163MM
121,PT BOD @178MM
206,PT BOD @180MM
251,PT BOD @ 7.5
166,PT BOD @203MM
191,PT BOD @215MM
198,PT BOD @241MM
213,PT BOD @ 9.75
136,PT BOD @100MM
112,PT BOD @25MM
117,PT TOD @ 0.1
137,PT TOD @ 0.125
321,PT TOD @6MM
267,PT TOD @ 0.39
116,PT TOD @13MM
299,PT TOD @ 0.85
113,PT TOD @25MM
296,PT TOD @ 1.125
328,PT TOD @ 30 MM
221,PT TOD @32MM
127,PT TOD @ 1.37 
16,PT TOD @35 MM
249,PT TOD @35MM
329,PT TOD @40MM
287,PT TOD @ 1.6
114,PT TOD @ 1.68
97,PT TOD @ 1.75
280,PT TOD @45MM
264,PT TOD @ 1.97
371,PT TOD @ 10MM
341,PT TOD @ 140MM
21,PT TOD @50MM
134,PT TOD @ 2.1
274,PT TOD @55MM
318,PT TOD @ 2.17
106,PT TOD @ 2.25
236,PT TOD @60MM
129,PT TOD @ 60 MM
49,PT TOD @ 2.5
109,PT TOD @ 2.51
319,PT TOD @ 2.56
279,PT TOD @65MM
244,PT TOD @ 2.75
315,PT TOD @70MM
131,PT TOD @ 2.8
304,PT TOD @80MM
285,PT TOD @ 3.2
99,PT TOD @ 3.25
108,PT TOD @ 3.3
330,PT TOD @85MM
94,PT TOD @90MM
282,PT TOD @ 3.6
101,PT TOD @ 3.75
68,PT TOD @100MM
273,PT TOD @110MM
100,PT TOD @115MM
105,PT TOD @127MM
291,PT TOD @130MM
278,PT TOD @ 5.2
180,PT TOD @ 5.4
102,PT TOD @140MM
246,PT TOD @ 5.9
286,PT TOD @160MM
107,PT TOD @ 6.5
217,PT TOD @168MM
293,PT TOD @170MM
370,PT TOD @ 65MM
115,PT TOD @178MM
301,PT TOD @ 7.2
310,PT TOD @185MM
214,PT TOD @ 7.40
234,PT TOD @ 7.5
233,PT TOD @10MM
104,PT TOD @150MM
173,PT TOD @2.25
375,PT TOD @30MM
103,PT TOD @38MM
92,PT TOD @75MM
155,TIP OD @0.125
268,TIP OD@ A- 10MM
269,TIP OD@ B-247.5MM
270,TIP OD@ B-280MM
271,TIP OD@ C-10MM
201,UPT BOD @ 0.1
288,UPT BOD @10MM
167,UPT BOD @13MM
195,UPT BOD @ 0.75
325,UPT BOD @30MM
223,UPT BOD @ 1.25
312,UPT BOD @35MM
237,UPT BOD @ 10.0
187,UPT BOD @ 10.4
294,UPT BOD @270MM
302,UPT BOD @ 10.65
186,UPT BOD @ 10.8
354,UPT BOD @ 100 MM
122,UPT BOD @279MM
262,UPT BOD @ 11.5
211,UPT BOD @300MM
218,UPT BOD @ 12.0
189,UPT BOD @ 12.4
135,UPT BOD @318MM
138,UPT BOD @ 13.0
308,UPT BOD @350MM
216,UPT BOD @ 14.0
193,UPT BOD @ 14.4
230,UPT BOD @ 14.5
196,UPT BOD @ 15.0
168,UPT BOD @ 17.0
247,UPT BOD @ 17.5
11,UPT BOD @50MM
42,UPT BOD @ 20.0
363,UPT BOD @ 25 MM
376,UPT BOD @ 250 MM
40,UPT BOD @76MM
226,UPT BOD @ 3.75
202,UPT BOD @ 3.9
255,UPT BOD @ 3.94
224,UPT BOD @ 4.1
12,UPT BOD @ 5.0
188,UPT BOD @ 5.3
185,UPT BOD @ 5.4
252,UPT BOD @150MM
346,UPT BOD @ 50 MM
322,UPT BOD @163MM
46,UPT BOD @178MM
203,UPT BOD @180MM
13,UPT BOD @203MM
169,UPT BOD @215MM
248,UPT BOD @ 8.75
38,UPT BOD @ 9.0
209,UPT BOD @241MM
208,UPT BOD @ 9.75
95,UPT BOD @100MM
160,UPT BOD @318 MM
228,UPT BOD @15.5
162,UPT BOD @16.5
39,UPT BOD @25MM
158,UPT BOD @4.5
69,UPT TOD @3MM
9,UPT TOD @3 MM
307,UPT TOD @6MM
256,UPT TOD @ 0.39
51,UPT TOD @13MM
240,UPT TOD @ 0.75
20,UPT TOD @ 0.8
70,UPT TOD @ 0.82
298,UPT TOD @ 0.85
71,UPT TOD @ 0.9
72,UPT TOD @ 0.94
73,UPT TOD @ 0.98
54,UPT TOD @25MM
111,UPT TOD @27MM
275,UPT TOD @ 1.09
316,UPT TOD @ 1.1
320,UPT TOD @ 1.142
222,UPT TOD @ 1.25
306,UPT TOD @32MM
261,UPT TOD @33MM
96,UPT TOD @ 1.37
74,UPT TOD @35 MM
41,UPT TOD @35MM
313,UPT TOD @ 1.38
93,UPT TOD @ 1.45
323,UPT TOD @ 40MM
76,UPT TOD @ 1.6
77,UPT TOD @ 1.625
78,UPT TOD @ 1.65
110,UPT TOD @ 1.68
55,UPT TOD @ 1.75
276,UPT TOD @45MM
263,UPT TOD @ 1.97
347,UPT TOD @ 10 MM
360,UPT TOD @ 100 MM
352,UPT TOD @110MM
349,UPT TOD @115MM
367,UPT TOD @ 140 MM
365,UPT TOD @145MM
357,UPT TOD @ 150 MM
356,UPT TOD @ 160 MM
18,UPT TOD @50MM
133,UPT TOD @ 2.1
259,UPT TOD @ 2.16
317,UPT TOD @ 2.17
79,UPT TOD @ 2.25
235,UPT TOD @ 2.35
80,UPT TOD @ 2.4
17,UPT TOD @63.5MM
81,UPT TOD @64MM
257,UPT TOD @ 2.56
82,UPT TOD @65MM
243,UPT TOD @ 2.75
314,UPT TOD @70MM
83,UPT TOD @ 2.8
368,UPT TOD @29MM
297,UPT TOD @80MM
283,UPT TOD @ 3.2
98,UPT TOD @ 3.25
84,UPT TOD @ 3.3
324,UPT TOD @85MM
305,UPT TOD @90MM
281,UPT TOD @ 3.6
85,UPT TOD @ 3.75
153,UPT TOD @ 3.8
377,UPT TOD @ 32 MM
351,UPT TOD @ 38 MM
8,UPT TOD @100MM
258,UPT TOD @ 4.13
260,UPT TOD @ 4.33
86,UPT TOD @ 4.5
358,UPT TOD @40MM
361,UPT TOD @ 45 MM
87,UPT TOD @127MM
290,UPT TOD @130MM
277,UPT TOD @ 5.2
184,UPT TOD @ 5.4
88,UPT TOD @140MM
343,UPT TOD @ 145MM
245,UPT TOD @ 5.9
359,UPT TOD @ 50MM
353,UPT TOD @55MM
284,UPT TOD @160MM
90,UPT TOD @ 6.5
265,UPT TOD @168MM
292,UPT TOD @170MM
254,UPT TOD @ 6.8
348,UPT TOD @60MM
366,UPT TOD @ 65 MM
52,UPT TOD @178MM
300,UPT TOD @ 7.2
309,UPT TOD @185MM
207,UPT TOD @ 7.40
91,UPT TOD @ 7.5
364,UPT TOD @ 70 MM
350,UPT TOD @ 75 MM
170,UPT TOD @ 8.5
250,UPT TOD @ 8.75
355,UPT TOD @ 80 MM
362,UPT TOD @ 90 MM
232,UPT TOD @10MM
89,UPT TOD @150MM
326,UPT TOD @30MM
75,UPT TOD @38MM
43,UPT TOD @75MM
332,UPT-BOD @ 0.5
336,UPT-BOD @ 1.2
333,UPT-BOD @ 6.42
337,UPT-BOD @ 7.1
253,UPTBOD @ 7.5
334,UPT-TOD @ 0.4
338,UPT-TOD @ 1.2
335,UPT-TOD @ 1.575
339,UPT-TOD @ 2.4
340,UPT-TOD @ 3.35
242,USDTOD @0.125
241,USDTOD @1.375
171,USDTOD @51MM
378,PT TOD @145MM
379,UPT BOD @102MM
380,PT BOD @102MM
381,UPT BOD @381MM
382,PT BOD @381MM
392,UPT TOD @120MM
384,UPT TOD @51MM
385,PT TOD @51MM
386,UPT TOD @76MM
387,PT TOD @76MM
388,UPT BOD @380MM
389,PT TOD @3MM
