Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
AL1,11,Bool,100,ReadAndWrite,1,0,
AL2,12,Bool,100,ReadAndWrite,1,0,
AL3,13,Bool,100,ReadAndWrite,1,0,
AL4,14,Bool,100,ReadAndWrite,1,0,
AL5,15,Bool,100,ReadAndWrite,1,0,
AL6,16,Bool,100,ReadAndWrite,1,0,
AL7,17,Bool,100,ReadAndWrite,1,0,
AL8,18,Bool,100,ReadAndWrite,1,0,
AL9,19,Bool,100,ReadAndWrite,1,0,
AL10,20,Bool,100,ReadAndWrite,1,0,
AL11,21,Bool,100,ReadAndWrite,1,0,
AL12,22,Bool,100,ReadAndWrite,1,0,
AL13,23,Bool,100,ReadAndWrite,1,0,
AL14,24,Bool,100,ReadAndWrite,1,0,
AL15,25,Bool,100,ReadAndWrite,1,0,
AL16,26,Bool,100,ReadAndWrite,1,0,
