Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
SetupPage,401303,Word,100,ReadAndWrite,1,0,
Sensor1CalibrationOffset,400606,Word,100,ReadAndWrite,1,0,
DigitalInput1Status,400202,Word,100,ReadAndWrite,1,0,
Temperature,400101,Word,100,ReadAndWrite,0.1,0,
ProfileNumber_CurrentStatus,404101,Word,100,ReadAndWrite,1,0,ID cua pro hien dang run
ProfileStepNumber_Current Status,404102,Word,100,ReadAndWrite,1,0,
ProfileStepType_CurrentStatus,404103,Word,100,ReadAndWrite,1,0,
HoursRemaining_CurrentStatus,404120,Word,100,ReadAndWrite,1,0,
MinutesRemaining_CurrentStatus,404121,Word,100,ReadAndWrite,1,0,
SecondsRemaining_CurrentStatus,404122,Word,100,ReadAndWrite,1,0,
SetPointCh1_CurrentStatus,404123,Word,100,ReadAndWrite,1,0,
EndSetPointCh1_CurrentStatus,404130,Word,100,ReadAndWrite,1,0,EndSetPointCh1
ProfileNumber_Settings,404001,Word,100,ReadAndWrite,1,0,chon profile
ProfileStepNumber_Settings,404002,Word,100,ReadAndWrite,1,0,Chon step number
EditProfileAction_Settings,404003,Word,100,ReadAndWrite,1,0,
ProfileStepType_Settings,404004,Word,100,ReadAndWrite,1,0,
StepTimeHours_Settings,404010,Word,100,ReadAndWrite,1,0,
StepTimeMinutes_Settings,404011,Word,100,ReadAndWrite,1,0,
StepTimeSeconds_Settings,404012,Word,100,ReadAndWrite,1,0,
RateValue_Settings,404044,Word,100,ReadAndWrite,1,0,
RampSetPointChannel1_Settings,404045,Word,100,ReadAndWrite,1,0,
RampSetPointChannel2_Settings,404046,Word,100,ReadAndWrite,1,0,
SaveChanges_Settings,400026,Word,100,ReadAndWrite,1,0,ghi gia tri 0 de luu
